,ds_id,name,group,submitter,is_public,polarity,organism,organism_part,condition,source,raw_source,analyzer,raw_analyzer,matrix,raw_matrix,solvent,raw_solvent,rp,fdr5,fdr10,fdr20,fdr50,batch_grouping,matrix_solvent,rp_range,batch_weight
246,2022-07-13_21h25m05s,20200825_Slide 1_t14_DDA_2022-7-12T14-53-45,M4I,Roel Tans,True,Negative,mouse,liver,diseased,MALDI,MALDI,Orbitrap,Orbitrap,Norharmane,Norharmane,MeOH,CHCl3/MeOH=2:1,240000.0,10,112,96,14,2022-07-13_21h25m05s,Norharmane,high,0.5
255,2021-02-04_17h49m19s,positive-XIII-82492-recalibrated,HS Mannheim,Denis Abu Sammour,True,Positive,human,brain,glioblastoma,MALDI,MALDI,FTICR,FTICR,DAN,"1,5-diaminonaphthalene (DAN)",Other,,153178.62,44,30,206,852,2021-02-04_17h49m19s,DAN,medium,1.0
256,2022-07-06_09h33m52s,MPIMM_288_QE_P,MPI Bremen,Manuel Liebeke,True,Positive,mouse,gut,wildtype,MALDI,AP-SMALDI5 AF,Orbitrap,Orbitrap,DHB,SDHB,MeOH,50% MeOH | 0.1% TFA,240000.0,37,27,381,1486,2021-11-05_11h01m03s,DHB,high,0.023255813953488372
260,2022-06-25_19h49m13s,S-2103-004186_7_S3_SM_Neg_20220624_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,120000.0,12,29,129,358,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
271,2022-06-20_21h10m49s,TM_Thawed5,NCSU,Alena Joignant,True,Positive,mouse,liver,n/a,ESI,IRMALDESI,Orbitrap,Orbitrap,Other,None,Other,none,240000.0,70,89,623,3494,2022-06-20_21h10m49s,Other Solvent,high,1.0
272,2022-05-14_01h43m50s,data001,PNNL,mike taylor,True,Positive,arabidopsis,whole organism,n/a,Other,IR-MALDESI,Orbitrap,Q-Exactive-Orbitrap,Other,none,Other,none,197989.89873223333,11,17,645,9075,2022-05-12_20h08m36s,Other Solvent,medium,0.3333333333333333
274,2022-06-11_22h18m44s,024_3_S3_SM_Neg_20220609_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,33,44,379,1486,2022-06-11_22h18m44s,DAN,medium,0.3333333333333333
275,2022-06-11_22h36m21s,S-2108-005528_11_S3_SM_Neg_20220608_GZ1,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,17,21,105,2173,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
276,2022-06-12_08h07m32s,S-2108-005528_11_S3_SM_Neg_20220608_GZ1_ML,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,17,21,105,2173,2022-06-12_08h07m32s,DAN,medium,1.0
277,2022-06-11_22h44m09s,S-2107-023606_7_S3_SM_Neg_20220610_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,23,51,161,979,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
278,2022-06-11_22h48m25s,S-2107-023651_7_S3_SM_Neg_20220610_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,10,46,158,1164,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
279,2022-06-11_22h46m38s,S-2107-023651_3_S3_SM_Neg_20220610_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,53,46,378,806,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
280,2022-06-11_22h45m05s,S-2107-023606_9_S3_SM_Neg_20220610_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,19,48,126,1112,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
282,2022-06-11_22h42m52s,S-2107-023606_3_S3_SM_Neg_20220610_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,29,37,145,1006,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
283,2022-06-11_22h37m37s,S-2107-023651_Mimetic1_S3_SM_Neg_20220610_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,33,35,171,599,2022-07-16_08h06m25s,DAN,medium,0.08333333333333333
284,2022-06-11_22h35m32s,S-2111-0008287_10_S3_SM_Neg_20220609_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,17,15,107,1007,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
285,2022-06-11_22h34m57s,S-2111-0008287_9_S3_SM_Neg_20220609_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,17,14,157,1235,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
286,2022-06-11_22h33m32s,S-2111-0008287_7_S3_SM_Neg_20220609_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,17,20,178,1121,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
287,2022-06-11_22h29m46s,S-2006-001995_7_S3_SM_Neg_20220609_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,19,47,173,1028,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
288,2022-06-11_22h27m57s,S-2006-001995_3_S3_SM_Neg_20220609_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,12,58,150,1049,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
289,2022-06-11_22h24m24s,024_9_S3_SM_Neg_20220609_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,28,27,86,1793,2022-06-11_22h18m44s,DAN,medium,0.3333333333333333
290,2022-06-11_22h26m37s,024_Mimetic2_S3_SM_Neg_20220609_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,26,29,129,425,2022-06-11_22h26m09s,DAN,medium,0.5
291,2022-06-09_20h35m35s,S-2108-005528_7_S3_SM_Neg_20220608_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,15,33,217,1156,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
293,2022-06-09_20h32m28s,S-2102-003504_Mimetic2_S3_SM_Neg_20220608_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,22,14,107,541,2022-07-16_08h06m25s,DAN,medium,0.08333333333333333
294,2022-06-09_20h31m42s,S-2102-003504_Mimetic1_S3_SM_Neg_20220608,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,21,26,131,871,2022-06-09_20h31m42s,DAN,medium,1.0
295,2022-06-09_20h29m27s,S-2102-003504_7_S3_SM_Neg_20220608_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,14,74,269,907,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
296,2022-06-09_20h30m14s,S-2102-003504_9_S3_SM_Neg_20220608_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,12,56,127,1080,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
297,2022-06-09_19h05m42s,S-2103-004123_Sec9_S3_SM_Neg_20220607_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,45,20,288,761,2022-06-09_18h56m28s,DAN,medium,0.05555555555555555
298,2022-06-09_18h59m58s,S-2103-004114_Sec7_S3_SM_Neg_20220607_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,13,27,174,732,2022-06-09_18h56m28s,DAN,medium,0.05555555555555555
299,2022-06-09_18h58m27s,S-2103-004042_Sec10_S3_SM_Neg_20220607_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,7,11,103,932,2022-06-09_18h56m28s,DAN,medium,0.05555555555555555
300,2022-06-09_18h56m28s,S-2103-004042_Sec7_S3_SM_Neg_20220607_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,14,21,194,749,2022-06-09_18h56m28s,DAN,medium,0.05555555555555555
312,2022-06-03_06h20m18s,Slide 5 well 2 60% 50um-total ion count,None,Tassiani Sarretto,True,Positive,cultured cells,neuron,control,MALDI,MALDI,TOF,timsTOF ,DHAP,DHA,Acetone,Acetone,120000.0,182,207,659,7277,2022-06-03_06h20m18s,DHAP,medium,1.0
317,2022-05-30_20h44m19s,FullPixel4_stitch,JLU Giessen,Max Müller,True,Positive,mouse,brain,frozen,MALDI,AP-SMALDI5 AF,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,Aceton/water ,240000.0,32,47,268,987,2022-05-30_20h44m19s,DHB,high,1.0
318,2022-05-30_19h16m00s,5um_highspeed,JLU Giessen,Max Müller,True,Positive,mouse,brain,frozen,MALDI,AP-SMALDI5 AF,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,Aceton/water ,240000.0,13,11,46,650,2022-01-25_08h09m47s,DHB,high,0.5
320,2022-05-30_16h15m34s,bottom_control_1,Iowa State University,Josiah Rensner,True,Positive,lemna minor,frond,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DHAP,"2,5-dihydroxyacetophenone (DHAP)/Gold Sputter",Other,none,240000.0,15,11,117,572,2022-05-30_16h15m34s,DHAP,high,1.0
328,2022-05-27_07h06m45s,slide 5 well 7 2 25%posrun-total ion count,None,Tassiani Sarretto,True,Positive,cultured cells,neuron,control,MALDI,MALDI,TOF,timsTOF ,DHAP,DHA,Acetone,Acetone,120000.0,13,36,291,5845,2022-05-27_07h06m45s,DHAP,medium,1.0
330,2022-05-27_05h58m08s,well 2 20%-total ion count,None,Tassiani Sarretto,True,Positive,cultured cells,neuron,control,MALDI,MALDI,TOF,timsTOF ,DHAP,DHA,Acetone,Acetone,120000.0,31,145,358,7242,2022-05-27_05h58m08s,DHAP,medium,1.0
334,2022-05-23_15h09m38s,TM_5mm,NCSU,Alena Joignant,True,Positive,mouse,liver,n/a,ESI,IRMALDESI,Orbitrap,Orbitrap,Other,None,Other,none,240000.0,71,120,739,1438,2022-05-23_15h08m42s,Other Solvent,high,0.16666666666666666
335,2022-05-23_15h09m11s,TM_7mm,NCSU,Alena Joignant,True,Positive,mouse,liver,n/a,ESI,IRMALDESI,Orbitrap,Orbitrap,Other,None,Other,none,240000.0,55,128,276,1793,2022-05-23_15h08m42s,Other Solvent,high,0.16666666666666666
336,2022-05-23_15h08m56s,TM_8mm,NCSU,Alena Joignant,True,Positive,mouse,liver,n/a,ESI,IRMALDESI,Orbitrap,Orbitrap,Other,None,Other,none,240000.0,70,194,840,1339,2022-05-23_15h08m42s,Other Solvent,high,0.16666666666666666
337,2022-05-23_14h50m19s,Obj_55_thaw,NCSU,Alena Joignant,True,Positive,mouse,liver,n/a,ESI,IRMALDESI,Orbitrap,Orbitrap,Other,None,Other,none,240000.0,75,197,732,708,2022-05-23_14h51m14s,Other Solvent,high,0.14285714285714285
