ds_id,name,group,submitter,is_public,polarity,source,raw_source,analyzer,raw_analyzer,matrix,raw_matrix,solvent,raw_solvent,rp,fdr5,fdr10,fdr20,fdr50,batch_grouping,matrix_solvent,rp_range,batch_weight,weight,include_in_recal,include_in_pilot
2019-06-18_09h40m25s,t-MALDI-2 - Fig 4 v - 2 um - cerebellum - pos,Dreisewerd group,Marcel Niehaus,True,Positive,MALDI,t-MALDI-2,Orbitrap,Orbitrap,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Acetone,50/50 acetone/water,70000.0,35.0,34.0,147.0,701.0,2019-06-18_09h40m25s,HCCA,low,1.0,675511.9948853285,False,False
2019-06-18_09h46m27s,t-MALDI-2 - Fig 4 i - 0.6 um - cerebellum - pos,Dreisewerd group,Marcel Niehaus,True,Positive,MALDI,t-MALDI-2,Orbitrap,Orbitrap,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Acetone,50/50 acetone/water,70000.0,35.0,59.0,126.0,204.0,2019-06-18_09h46m27s,HCCA,low,1.0,675511.9948853285,False,False
2019-06-18_09h47m06s,MALDI-2 - Fig 4 vi - 10 um - cerebellum - pos,Dreisewerd group,Marcel Niehaus,True,Positive,MALDI,t-MALDI-2,Orbitrap,Orbitrap,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Acetone,50/50 acetone/water,70000.0,45.0,52.0,114.0,666.0,2019-06-18_09h47m06s,HCCA,low,1.0,675511.9948853285,False,False
2019-06-18_10h25m45s,t-MALDI-2 - Fig 2 pos - 1 um - cerebellum,Dreisewerd group,Marcel Niehaus,True,Positive,MALDI,t-MALDI-2,Orbitrap,Orbitrap,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Acetone,50/50 acetone/water,70000.0,25.0,13.0,82.0,482.0,2019-06-18_10h25m45s,HCCA,low,1.0,675511.9948853285,True,False
2019-06-18_10h29m22s,t-MALDI-2 - Fig 3 i - 1 um - cerebellum - pos,Dreisewerd group,Marcel Niehaus,True,Positive,MALDI,t-MALDI-2,Orbitrap,Orbitrap,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Acetone,50/50 acetone/water,70000.0,50.0,19.0,131.0,204.0,2019-06-18_10h29m22s,HCCA,low,1.0,675511.9948853285,False,False
2019-06-18_11h10m10s,t-MALDI-2 - Fig S2 - 1 um - MALDI- MALDI2,Dreisewerd group,Marcel Niehaus,True,Positive,MALDI,t-MALDI-2,Orbitrap,Orbitrap,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Acetone,50/50 acetone/water,70000.0,24.0,36.0,55.0,200.0,2019-06-18_11h10m10s,HCCA,low,1.0,675511.9948853285,False,False
2019-06-19_11h00m35s,t-MALDI-2 - Fig 3 ii - 1 um - cerebellum - pos,Dreisewerd group,Marcel Niehaus,True,Positive,MALDI,t-MALDI-2,Orbitrap,Orbitrap,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Acetone,50/50 acetone/water,70000.0,40.0,44.0,118.0,291.0,2019-06-19_11h00m35s,HCCA,low,1.0,675511.9948853285,True,True
2019-06-19_11h01m04s,t-MALDI-2 - Fig 3 iii - 1 um - cerebellum - pos,Dreisewerd group,Marcel Niehaus,True,Positive,MALDI,t-MALDI-2,Orbitrap,Orbitrap,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Acetone,50/50 acetone/water,70000.0,59.0,51.0,83.0,332.0,2019-06-13_20h00m49s,HCCA,low,0.5,337755.99744266423,False,False
2019-06-19_11h02m15s,t-MALDI-2 - Fig 3 iv - 1 um - cerebellum - pos,Dreisewerd group,Marcel Niehaus,True,Positive,MALDI,t-MALDI-2,Orbitrap,Orbitrap,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Acetone,50/50 acetone/water,70000.0,55.0,15.0,101.0,250.0,2019-06-19_11h02m15s,HCCA,low,1.0,675511.9948853285,True,False
2021-07-28_10h49m22s,Bchild_NIX_N25_tm_158_210701171233,Dreisewerd group,Vincent Suerdieck,True,Positive,MALDI,MALDI-2,Orbitrap,Orbitrap,DHAP,"2,5-dihydroxyacetophenone (DHAP)",Other,none,70000.0,17.0,45.0,205.0,678.0,2021-07-08_15h03m38s,DHAP,low,0.5,8850.620046685284,False,False
2017-05-16_04h18m52s,gemm tumors - rms,Genentech,Sheerin Latham,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,none,280000.0,108.0,92.0,84.0,438.0,2017-05-16_04h18m52s,DHB,high,1.0,1570.619233798474,False,False
2017-07-31_12h54m18s,04 - root mean square,HMGU,Na Sun,True,Negative,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,70000.0,21.0,45.0,55.0,382.0,2017-07-31_12h54m18s,9AA,low,1.0,982605.1726343246,False,False
2017-08-03_12h25m10s,region20170803 - root mean square,HMGU,Na Sun,True,Negative,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,70000.0,8.0,53.0,82.0,687.0,2017-08-01_12h11m21s,9AA,low,0.5,491302.5863171623,False,False
2017-11-07_10h36m47s,180_F,HMGU,Na Sun,True,Negative,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,70000.0,34.0,11.0,30.0,236.0,2017-11-07_10h36m47s,9AA,low,1.0,982605.1726343246,False,False
2017-11-07_11h27m09s,180_R,HMGU,Na Sun,True,Negative,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,70000.0,22.0,16.0,29.0,106.0,2017-11-07_11h27m09s,9AA,low,1.0,982605.1726343246,False,False
2017-11-10_12h44m19s,97_average,HMGU,Na Sun,True,Negative,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,140000.0,9.0,20.0,72.0,175.0,2017-11-10_14h31m37s,9AA,medium,0.5,282440.20752838603,False,False
2017-11-10_13h10m56s,167average,HMGU,Na Sun,True,Negative,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,140000.0,3.0,29.0,24.0,816.0,2017-11-10_13h10m56s,9AA,medium,1.0,564880.4150567721,False,False
2016-12-15_14h19m59s,dosedRatLiverControl,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,266805.0,28.0,76.0,227.0,213.0,2016-12-15_14h19m59s,DHB,high,1.0,168610.24770782798,False,False
2017-05-02_08h56m35s,purkinje_fibers_mouse_brain,HS Mannheim,Denis Abu Sammour,True,Negative,MALDI,MALDI,FTICR,FTICR,Other,4-Phenyl-alpha-cyanocinnamic acid amide,Other,,1600000.0,9.0,14.0,38.0,129.0,2017-05-02_08h56m35s,Other Matrix,high,1.0,258901.73998236217,True,False
2017-05-02_12h35m09s,molecular_layer_brain_mouse,HS Mannheim,Denis Abu Sammour,True,Negative,MALDI,MALDI,FTICR,FTICR,Other,4-Phenyl-alpha-cyanocinnamic acid amide,Other,,1600000.0,7.0,47.0,44.0,101.0,2017-05-02_12h35m09s,Other Matrix,high,1.0,258901.73998236217,False,False
2017-05-05_08h28m10s,granular_layer_mouse_brain,HS Mannheim,Denis Abu Sammour,True,Negative,MALDI,MALDI,FTICR,FTICR,Other,4-Phenyl-alpha-cyanocinnamic acid amide,Other,,1600000.0,7.0,11.0,32.0,130.0,2017-05-05_08h28m10s,Other Matrix,high,1.0,258901.73998236217,False,False
2017-05-12_11h53m32s,female vs males wild type,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,452400.0,45.0,38.0,190.0,616.0,2017-05-12_11h53m32s,DHB,high,1.0,224813.6636104373,True,False
2017-08-07_13h19m42s,GIST_sampleJ_tumor_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,65.0,128.0,411.0,277.0,2017-08-07_13h19m42s,DHB,high,1.0,224813.6636104373,False,False
2017-08-07_13h21m54s,GIST_sampleJ_normal_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,57.0,129.0,288.0,340.0,2017-08-07_13h21m54s,DHB,high,1.0,224813.6636104373,False,False
2017-08-07_13h23m40s,GIST_sampleI_tumor_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,89.0,72.0,196.0,627.0,2017-08-07_13h23m40s,DHB,high,1.0,224813.6636104373,False,False
2017-08-11_12h30m20s,GIST_sampleL_tumor_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,116.0,89.0,304.0,219.0,2017-08-11_12h30m20s,DHB,high,1.0,224813.6636104373,False,False
2017-08-11_12h31m52s,GIST_sampleL_normal_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,25.0,73.0,185.0,366.0,2017-08-11_12h31m52s,DHB,high,1.0,224813.6636104373,True,True
2017-08-16_15h51m46s,GIST_sampleK_tumor_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,64.0,116.0,267.0,498.0,2017-08-16_15h51m46s,DHB,high,1.0,224813.6636104373,False,False
2017-08-16_15h52m56s,GIST_sampleK_normal_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,67.0,97.0,241.0,365.0,2017-08-16_15h52m56s,DHB,high,1.0,224813.6636104373,False,False
2017-08-22_15h16m21s,GIST_sampleA_normal_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,59.0,67.0,308.0,319.0,2017-08-22_15h16m21s,DHB,high,1.0,224813.6636104373,False,False
2017-08-22_15h17m27s,GIST_sampleA_tumor_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,24.0,57.0,125.0,443.0,2017-08-22_15h17m27s,DHB,high,1.0,224813.6636104373,False,False
2017-08-30_09h25m09s,GIST_sampleAA_normal_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,85.0,166.0,246.0,295.0,2017-08-30_09h25m09s,DHB,high,1.0,224813.6636104373,False,False
2017-08-30_09h26m47s,GIST_sampleAA_tumor_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,90.0,88.0,291.0,296.0,2017-08-30_09h26m47s,DHB,high,1.0,224813.6636104373,False,False
2017-09-07_15h12m25s,GIST_sampleU_normal_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,42.0,67.0,225.0,340.0,2017-09-07_15h12m25s,DHB,high,1.0,224813.6636104373,False,False
2017-09-08_17h02m04s,GIST_sampleT_tumor_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,55.0,98.0,194.0,459.0,2017-09-08_17h02m04s,DHB,high,1.0,224813.6636104373,False,False
2017-09-08_17h08m29s,GIST_sampleR_tumor_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,78.0,42.0,162.0,313.0,2017-09-08_17h08m29s,DHB,high,1.0,224813.6636104373,False,False
2017-09-20_15h01m03s,GIST_sampleB_tumor_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,68.0,129.0,336.0,334.0,2017-09-20_15h01m03s,DHB,high,1.0,224813.6636104373,False,False
2017-11-28_11h33m40s,GIST_sampleG_tumor_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DHAP,"2,5-dihydroxyacetophenone (DHA)",Other,,455400.0,89.0,99.0,229.0,476.0,2017-11-28_11h33m40s,DHAP,high,1.0,224813.6636104373,False,False
2021-02-04_17h49m19s,positive-XIII-82492-recalibrated,HS Mannheim,Denis Abu Sammour,True,Positive,MALDI,MALDI,FTICR,FTICR,DAN,"1,5-diaminonaphthalene (DAN)",Other,,153178.62,44.0,30.0,206.0,852.0,2021-02-04_17h49m19s,DAN,medium,1.0,412845.55396964453,True,True
2016-09-30_15h20m39s,ICL//BRB09C,ICL,James McKenzie,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,6.0,50.0,403.0,214.0,2016-09-30_15h24m39s,Other Solvent,medium,0.09090909090909091,12867.087099386292,False,False
2016-09-30_15h23m49s,ICL//BRB18E,ICL,James McKenzie,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,66.0,55.0,,22.0,2016-09-30_15h21m38s,Other Solvent,medium,0.045454545454545456,6433.543549693146,False,False
2016-10-01_12h04m55s,ICL//A 50 jcn S7-centroid,ICL,James McKenzie,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,95.0,109.0,62.0,85.0,2016-10-01_12h04m55s,Other Solvent,low,1.0,246204.1983391289,False,False
2016-10-01_12h11m41s,ICL//A32 Jcn S6-centroid,ICL,James McKenzie,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,111.0,217.0,501.0,596.0,2016-10-01_12h11m41s,Other Solvent,low,1.0,246204.1983391289,True,True
2016-10-01_12h12m30s,ICL//A35 centre S4-centroid,ICL,James McKenzie,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,203.0,144.0,224.0,117.0,2016-10-01_12h05m45s,Other Solvent,low,0.5,123102.09916956445,False,False
2016-10-01_12h16m09s,ICL//A39 Centre S5-centroid,ICL,James McKenzie,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,142.0,133.0,382.0,598.0,2016-10-01_12h16m09s,Other Solvent,low,1.0,246204.1983391289,True,False
2016-10-01_12h16m19s,ICL//A39 junction S4-centroid,ICL,James McKenzie,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,124.0,129.0,302.0,398.0,2016-10-01_12h25m48s,Other Solvent,low,0.125,30775.524792391112,False,False
2016-10-01_12h23m34s,ICL//A58 jcn S4-centroid,ICL,James McKenzie,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,164.0,139.0,353.0,156.0,2016-10-01_12h19m31s,Other Solvent,low,0.16666666666666666,41034.033056521475,False,False
2016-12-13_13h58m32s,ICL//LNTO41_8M_1,ICL,James McKenzie,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,140000.0,130.0,80.0,,54.0,2016-12-13_13h56m14s,Other Solvent,medium,0.1,14153.795809324925,False,False
2017-05-11_13h42m13s,"287TopRight, 297 BottomRight, 307BottomLeft, 317TopLeft-centroid",ICL,James McKenzie,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,173.0,129.0,75.0,43.0,2017-05-11_13h42m13s,Other Solvent,medium,0.14285714285714285,26959.611065380806,False,False
2017-10-26_14h25m19s,BRB05C-RECAL,ICL,James McKenzie,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,N/A,Other,,100000.0,244.0,74.0,16.0,53.0,2017-10-26_14h30m02s,Other Solvent,medium,0.1111111111111111,20968.58638418507,False,False
2017-10-26_14h25m31s,BRB06F2-RECAL,ICL,James McKenzie,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,N/A,Other,,100000.0,181.0,191.0,138.0,8.0,2017-10-26_14h25m31s,Other Solvent,medium,1.0,188717.27745766565,False,False
2017-10-26_14h29m04s,BRB19C-RECAL,ICL,James McKenzie,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,N/A,Other,,100000.0,196.0,54.0,3.0,49.0,2017-10-26_14h30m02s,Other Solvent,medium,0.1111111111111111,20968.58638418507,False,False
2017-11-16_16h35m38s,LNTO30_8L_1-RECAL,ICL,James McKenzie,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,N/A,Other,,100000.0,124.0,87.0,,,2017-11-16_16h35m38s,Other Solvent,medium,0.14285714285714285,26959.611065380806,False,False
2017-11-16_16h37m17s,LNTO39_8M_4-RECAL,ICL,James McKenzie,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,N/A,Other,,100000.0,125.0,166.0,9.0,71.0,2017-11-16_16h37m14s,Other Solvent,medium,0.1111111111111111,20968.58638418507,False,False
2017-11-16_16h38m35s,TO32T-RECAL,ICL,James McKenzie,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,N/A,Other,,100000.0,146.0,106.0,58.0,24.0,2017-11-16_16h38m43s,Other Solvent,medium,0.09090909090909091,17156.116132515057,False,False
2019-08-23_17h15m55s,5umCornLeaf,Iowa State University,Evan Larson,True,Negative,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,74.0,72.0,223.0,335.0,2019-08-23_17h15m55s,DAN,low,1.0,630542.9130962364,False,False
2019-08-23_17h50m24s,Corn_Leaf_5um_DAN_2,Iowa State University,Evan Larson,True,Negative,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,4.0,40.0,57.0,146.0,2019-08-23_17h50m24s,DAN,low,1.0,630542.9130962364,False,False
2019-08-23_17h54m34s,Corn_Leaf_6um_DAN,Iowa State University,Evan Larson,True,Negative,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,44.0,33.0,88.0,120.0,2019-08-23_17h59m35s,DAN,low,0.5,315271.4565481182,True,True
2020-06-09_16h59m40s,2014_4_18_5 um corn leaf,Iowa State University,Josiah Rensner,True,Negative,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,42.0,71.0,253.0,72.0,2020-06-09_16h59m40s,DAN,low,1.0,394012.0633264235,False,False
2020-06-11_16h40m15s,2016_2_26_RECAL_MaizeLeaf_B73_distal_5um_FTMS_825_10shots,Iowa State University,Josiah Rensner,True,Negative,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,5.0,31.0,17.0,20.0,2020-06-11_16h40m15s,DAN,low,1.0,394012.0633264235,False,False
2020-06-11_23h00m11s,2014_07_20_RECAL_2week_2ndleaf_base_DAN_neg,Iowa State University,Josiah Rensner,True,Negative,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,25.0,16.0,72.0,82.0,2020-06-11_23h00m11s,DAN,low,1.0,394012.0633264235,False,False
2020-06-11_23h39m06s,2016_1_25_RECAL_BM_distal_MaizeLeaf_FTMS_5um_DAN_835laser,Iowa State University,Josiah Rensner,True,Negative,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,15.0,19.0,123.0,74.0,2020-06-11_23h39m06s,DAN,low,1.0,394012.0633264235,False,False
2020-06-12_00h12m15s,2016_1_26_RECAL_MB_distal_5um_DAN_835laser_FTMS,Iowa State University,Josiah Rensner,True,Negative,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,6.0,26.0,136.0,181.0,2020-06-12_00h12m15s,DAN,low,1.0,394012.0633264235,False,False
2020-06-12_15h47m30s,2014_04_21_RECAL_Corn_leaf_6um_DAN,Iowa State University,Josiah Rensner,True,Negative,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,22.0,64.0,113.0,147.0,2020-06-12_15h47m30s,DAN,low,0.5,197006.03166321176,False,False
2020-06-12_16h18m14s,2014_04_21_RECAL_Corn_leaf_8um_DAN,Iowa State University,Josiah Rensner,True,Negative,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,62.0,91.0,179.0,243.0,2020-06-12_15h47m30s,DAN,low,0.5,197006.03166321176,False,False
2020-06-12_16h35m45s,2014_06_05_RECAL_Day,Iowa State University,Josiah Rensner,True,Negative,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,5.0,68.0,163.0,243.0,2020-06-12_16h35m45s,DAN,low,1.0,394012.0633264235,False,False
2020-06-12_17h14m59s,2014_06_24_RECAL_Dark_5_mid_DAN_neg,Iowa State University,Josiah Rensner,True,Negative,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,24.0,20.0,134.0,157.0,2020-06-12_17h14m59s,DAN,low,1.0,394012.0633264235,False,False
2020-06-12_17h38m35s,2014_06_24_RECAL_Dark_5_mid_DAN_neg_140624202328,Iowa State University,Josiah Rensner,True,Negative,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,24.0,69.0,149.0,168.0,2020-06-12_17h38m35s,DAN,low,1.0,394012.0633264235,False,False
2020-07-07_17h13m26s,DAN_neg_T24_S2_Sec23_2013_12_30,Iowa State University,Josiah Rensner,True,Negative,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,23,42426.406871192856,61.0,70.0,124.0,195.0,2020-07-07_17h13m26s,DAN,low,1.0,394012.0633264235,False,False
2020-07-07_17h14m45s,2014_1_2_B73_R1_T24_S2_Sec21_DHB_Pos,Iowa State University,Josiah Rensner,True,Positive,MALDI,MALDI,Orbitrap,Orbitrap,DHB,DHB,Other,23,42426.406871192856,68.0,157.0,275.0,266.0,2020-07-07_17h14m45s,DHB,low,0.3333333333333333,114044.93389288077,False,False
