,Unnamed: 0,ds_id,name,group,submitter,is_public,polarity,organism,organism_part,condition,source,raw_source,analyzer,raw_analyzer,matrix,raw_matrix,solvent,raw_solvent,rp,fdr5,fdr10,fdr20,fdr50,batch_grouping,matrix_solvent,rp_range,batch_weight,weight
1062,2491,2017-05-05_14h53m42s,fibers_layer_mouse_brain,HS Mannheim,Denis Abu Sammour,True,Negative,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,Other,4-Phenyl-alpha-cyanocinnamic acid amide,Other,,1600000.0,26.0,30,42.0,84.0,2017-05-05_14h53m42s,Other Matrix,high,1.0,1362757.5055890451
2516,5594,2018-06-13_16h07m27s,nam-02_94avt_03 - total ion count,IBMP,Elisa Ruhland,True,Positive,human,brain,"cancer, hcc",MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,MeOH,590000.0,6.0,21,106.0,552.0,2018-06-13_16h07m27s,DHB,high,1.0,1357033.671105134
891,2108,2018-08-01_10h42m06s,nam 02 02 glio 6 - total ion count,IBMP,Elisa Ruhland,True,Positive,human,brain,"cancer, hcc",MALDI,MALDI,FTICR,FTICR,DHAP,"2,5-dihydroxyacetophenone (DHA)",Other,none,2000000.0,39.0,39,200.0,807.0,2018-08-01_10h41m43s,DHAP,high,0.04,118731.96669909378
2484,5523,2018-08-01_11h08m28s,nam 02 02 epi 3 - total ion count,IBMP,Elisa Ruhland,True,Positive,human,brain,"cancer, hcc",MALDI,MALDI,FTICR,FTICR,DHAP,"2,5-dihydroxyacetophenone (DHA)",Other,none,2000000.0,28.0,56,161.0,637.0,2018-08-01_14h20m46s,DHAP,high,0.0263157894736842,78113.13598624589
880,2094,2018-08-01_13h32m55s,nam 02 02 glio 7 - total ion count,IBMP,Elisa Ruhland,True,Positive,human,brain,"cancer, hcc",MALDI,MALDI,FTICR,FTICR,DHAP,"2,5-dihydroxyacetophenone (DHA)",Other,none,280000.0,49.0,17,194.0,867.0,2018-08-01_10h41m43s,DHAP,high,0.04,118731.96669909378
1007,2369,2017-01-26_09h00m05s,JuS28_210x210_DMAN,JLU Giessen,Mario Kompauer,True,Negative,mouse,brain,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DMAN,"1,8-bis(dimethylamino)naphthalene (DMAN)",Other,,140000.0,82.0,82,173.0,1560.0,2017-01-26_09h00m05s,DMAN,medium,1.0,2875864.714804342
2225,4974,2017-01-26_09h08m49s,JuS30_210x210_PNA,JLU Giessen,Mario Kompauer,True,Negative,mouse,brain,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,Other,PNA,Other,none,140000.0,4.0,17,22.0,460.0,2017-01-26_09h08m49s,Other Matrix,medium,1.0,558657.3479083127
1495,3212,2017-06-09_07h12m31s,BW40_1_2016,JLU Giessen,Mario Kompauer,True,Positive,mouse,brain,,MALDI,MALDI,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,140000.0,17.0,67,261.0,524.0,2017-06-09_07h12m31s,DHB,medium,1.0,355685.7464576055
2888,6216,2017-06-22_09h15m00s,Lipids,JLU Giessen,Max Müller,True,Positive,mouse,brain,healthy,MALDI,MALDI,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,240000.0,57.0,30,279.0,1108.0,2017-06-22_09h15m00s,DHB,high,1.0,344368.5963715247
3136,6692,2018-01-18_15h34m28s,Mouse brain_MBT_3_MK,JLU Giessen,Mario Kompauer,True,Positive,mouse,brain,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,Other,2-Mercaptobenzothiazole (MBT),Other,,240000.0,36.0,31,207.0,970.0,2018-01-18_15h34m28s,Other Matrix,high,0.5,199950.8842334256
1929,4337,2021-06-08_13h08m53s,Mouse brain - cerebellum (DIUTHAME),JLU Giessen,Max Müller,True,Positive,mouse,brain,wildtype,MALDI,AP-SMALDI5 AF,Orbitrap,Orbitrap,Other,DIUTHAME,Other,none,240000.0,12.0,26,95.0,132.0,2021-06-08_13h08m53s,Other Matrix,high,1.0,814821.3325988116
1670,3721,2022-05-30_20h09m30s,MM_52_mousebrain_CMAF_5PS_200x200_10um_A40,JLU Giessen,Max Müller,True,Positive,mouse,brain,frozen,MALDI,AP-SMALDI5 AF,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,Aceton/water ,60000.0,9.0,15,93.0,568.0,2022-05-30_20h09m30s,DHB,low,0.5,583457.1182300001
1668,3718,2022-05-30_20h18m04s,FP2_18PS_CM_cerebellum_200x200_10um_A20_3kV_1_X003,JLU Giessen,Max Müller,True,Positive,mouse,brain,frozen,MALDI,AP-SMALDI5 AF,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,Aceton/water ,15000.0,18.0,18,8.0,251.0,2022-05-30_20h18m04s,DHB,low,1.0,1166914.2364600003
1665,3712,2022-05-31_10h46m34s,"MM_76_mousebrain_325x226_40um_laseronoff_1,9PS_A40",JLU Giessen,Max Müller,True,Positive,mouse,brain,frozen,MALDI,AP-SMALDI5 AF,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,Aceton/water ,240000.0,26.0,31,482.0,995.0,2022-05-31_10h46m34s,DHB,high,1.0,774829.3418359305
1252,2786,2017-07-11_11h29m36s,100um_noM2_001_Recal,M4I,Shane Ellis,True,Positive,mouse,brain,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,Norharmane,Norharmane,Other,none,339411.25496954285,47.0,118,551.0,2002.0,2017-07-11_11h29m36s,Norharmane,high,1.0,1694128.8565725866
625,1580,2018-05-07_22h32m23s,100um_noM2_001_Recal_RECAL3,M4I,Shane Ellis,True,Positive,mouse,brain,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,Norharmane,Norharmane,Other,none,339411.25496954285,52.0,99,583.0,2029.0,2018-05-07_22h32m23s,Norharmane,high,1.0,2117661.0707157333
2021,4560,2021-01-06_20h58m42s,pos_change syringe_10ppb_spot 2_lower stage_it 25,NCSU,Alexandria Sohn,True,Positive,human,brain,,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,22.0,27,795.0,2255.0,2021-01-06_21h01m01s,Other Solvent,high,0.5,356904.14084900403
2018,4557,2021-01-06_21h11m17s,pos_after trouble shooting_spot 1,NCSU,Alexandria Sohn,True,Positive,human,brain,,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,55.0,41,495.0,1715.0,2021-01-06_21h11m17s,Other Solvent,high,1.0,713808.2816980081
2017,4556,2021-01-06_21h14m14s,pos_after troubleshooting_spot 2,NCSU,Alexandria Sohn,True,Positive,human,brain,,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,26.0,47,387.0,1461.0,2021-01-06_21h14m14s,Other Solvent,high,1.0,713808.2816980081
406,1170,2021-01-07_20h35m22s,pCSF_pos_afterTS_LP10_Spot1_run2,NCSU,Alexandria Sohn,True,Positive,human,brain,,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,38.0,35,369.0,1977.0,2021-01-07_20h35m22s,Other Solvent,high,1.0,713808.2816980081
2015,4553,2021-01-07_20h37m34s,pCSF_pos_10ppn_nolowerstage_Spot2,NCSU,Alexandria Sohn,True,Positive,human,brain,,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,35.0,49,233.0,1438.0,2021-01-07_20h37m34s,Other Solvent,high,1.0,713808.2816980081
403,1167,2021-01-07_20h43m57s,pCSF_pos_CS_10ppb_Spot1_lowerstage_it 20,NCSU,Alexandria Sohn,True,Positive,human,brain,,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,14.0,108,557.0,1867.0,2021-01-07_20h51m30s,Other Solvent,high,0.5,356904.14084900403
2014,4552,2021-01-07_20h45m48s,pCSF_pos_CS_10ppb_Spot1_it 30,NCSU,Alexandria Sohn,True,Positive,human,brain,,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,40.0,44,417.0,2749.0,2021-01-07_20h45m48s,Other Solvent,high,1.0,713808.2816980081
401,1165,2021-01-07_20h53m04s,pCSF_pos_CS_10ppb_Spot3_lowerstagex2,NCSU,Alexandria Sohn,True,Positive,human,brain,,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,34.0,126,555.0,2087.0,2021-01-07_20h53m04s,Other Solvent,high,1.0,713808.2816980081
400,1164,2021-01-07_20h54m53s,pCSF_pos_slide_Spot2_20201220122959,NCSU,Alexandria Sohn,True,Positive,human,brain,,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,136.0,211,495.0,1189.0,2021-01-07_20h54m53s,Other Solvent,high,1.0,713808.2816980081
3134,6685,2018-01-08_10h02m38s,RB_a2s1,National Physical Laboratory ,Robin Philip,True,Positive,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,CHCA,alpha-cyano-4-hydroxycinnamic acid (CHCA),Other,,140000.0,37.0,55,594.0,3376.0,2018-02-15_10h59m46s,CHCA,medium,0.2,660197.8124059156
1519,3263,2018-01-08_15h48m36s,rb_a2s2,National Physical Laboratory ,Robin Philip,True,Positive,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,CHCA,alpha-cyano-4-hydroxycinnamic acid (CHCA),Other,,140000.0,56.0,138,530.0,3426.0,2018-01-08_15h48m36s,CHCA,medium,1.0,3300989.0620295787
1535,3302,2018-02-15_10h59m46s,RB_a2s1,National Physical Laboratory ,Robin Philip,True,Positive,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,DHAP,"2,5-dihydroxyacetophenone (DHA)",Other,none,140000.0,37.0,55,594.0,3376.0,2018-02-15_10h59m46s,DHAP,medium,0.2,795897.3503698029
2093,4716,2020-09-01_10h04m59s,FullBrain_Norh_neg,None,Tina Angerer,True,Negative,mouse,brain,wtype,MALDI,AP-MALDI,Orbitrap,Orbitrap,Norharmane,Norharmane,Other,none,169705.62748477142,4.0,17,26.0,273.0,2020-09-01_10h04m59s,Norharmane,medium,1.0,1322507.9112256814
2073,4679,2020-09-28_14h23m45s,20200928_Brain_Cer_DAN_w_neg_i,None,Tina Angerer,True,Negative,human,brain,wtype,MALDI,AP-MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,169705.62748477142,27.0,31,55.0,367.0,2020-09-28_14h23m45s,DAN,medium,1.0,543777.8612131758
2072,4678,2020-09-29_08h10m05s,20200928_Brain_Cer_DAN_w_neg_ii,None,Tina Angerer,True,Negative,mouse,brain,wtype,MALDI,AP-MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,169705.62748477142,34.0,32,57.0,245.0,2020-09-29_08h10m05s,DAN,medium,1.0,543777.8612131758
455,1274,2020-10-06_13h09m16s,20201006_Brain_Cer_DANw_pos_i,None,Tina Angerer,True,Positive,mouse,brain,wtype,MALDI,AP-MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,169705.62748477142,31.0,20,57.0,221.0,2020-10-06_13h09m16s,DAN,medium,1.0,409591.86578418035
2069,4667,2020-10-06_14h23m30s,20201006_Brain_Cer_THAPme_pos_i,None,Tina Angerer,True,Positive,mouse,brain,wtype,MALDI,AP-MALDI,Orbitrap,Orbitrap,Other,"2,4,6-Trihydroxyacetophenone (THAP)",Other,none,169705.62748477142,24.0,54,123.0,564.0,2020-10-06_14h23m30s,Other Matrix,medium,1.0,474002.64808444196
453,1262,2020-10-19_10h34m52s,20201019_Brain_Cer_THAP_pos_ii,None,Tina Angerer,True,Positive,mouse,brain,wtype,MALDI,AP-MALDI,Orbitrap,Orbitrap,Other,"2,4,6-Trihydroxyacetophenone (THAP)",Other,none,169705.62748477142,9.0,15,76.0,816.0,2020-10-19_10h34m52s,Other Matrix,medium,1.0,474002.64808444196
154,514,2021-04-14_18h06m51s,Control - BT474 Brain Met D NEg,None,Landry Blanc,True,Negative,mouse,brain,cancer tumor,MALDI,AP-SMALDI 5,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Acetone,70/30 acetone/water,84852.81374238571,65.0,83,145.0,557.0,2021-04-14_18h06m51s,DAN,medium,1.0,891372.895670039
303,881,2021-04-14_18h12m56s,13C labelled - BT474 BM C13 DAN,None,Landry Blanc,True,Negative,mouse,brain,cancer tumor,MALDI,AP-SMALDI 5,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Acetone,70/30 acetone/water,84852.81374238571,8.0,25,130.0,622.0,2021-04-14_18h12m56s,DAN,medium,1.0,891372.895670039
305,883,2021-05-03_11h38m22s,13C labelled - BT 474 BM B C13 DAN ,None,Landry Blanc,True,Negative,mouse,brain,cancer tumor,MALDI,AP-SMALDI 5,Orbitrap,Orbitrap,CHCA,CHCA,Acetone,70/30 acetone/water,84852.81374238571,45.0,38,121.0,730.0,2021-05-03_11h38m22s,CHCA,medium,1.0,1582027.6988287773
228,694,2021-11-04_12h41m40s,2021-10-20_atq-83-01_chca_brain-tissue-total ion count,None,Jelle Schuurman,True,Positive,mouse,brain,diseased,MALDI,MALDI,FTICR,FTICR,CHCA,alpha-cyano-4-hydroxycinnamic acid (CHCA),ACN,"50% ACN, 50% H2O with 0.1% TFA",300000.0,39.0,38,195.0,413.0,2021-11-04_12h13m03s,CHCA,high,0.5,780253.4142600527
1800,4015,2021-12-01_13h25m50s,2021-12-01_atq-83_dhb_on-tissue-total ion count,None,Jelle Schuurman,True,Positive,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH | 0.1% TFA,300000.0,55.0,87,236.0,13187.0,2021-12-01_13h25m50s,DHB,high,1.0,860065.6537751602
1733,3857,2022-02-18_14h33m04s,white matter-root mean square,None,Judit Aguilar,True,Positive,rat,brain,,MALDI,MALDI,TOF,timsTOF Flex,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Other,none,60000.0,8.0,16,19.0,146.0,2022-02-18_14h33m04s,HCCA,low,1.0,5517454.120160121
101,379,2022-04-22_13h58m27s,case2-49_MFS_pos,None,Ilona Lipp,True,Positive,human,brain,control,MALDI,MALDI,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",EtOH,50% EtOH,141421.35623730952,55.0,48,231.0,1127.0,2022-04-22_13h50m55s,DHB,medium,0.25,216226.45932832148
11,192,2022-08-23_23h48m59s,AD POS Aug 12 2022,None,Nilay Saha,True,Positive,mouse,brain,,ESI,UV-MALDESI,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH | 0.1% TFA,120000.0,66.0,159,552.0,4788.0,2022-08-23_23h48m59s,MeOH,medium,1.0,2889712.7027697493
1595,3582,2022-08-24_00h20m06s,Neg Brain Aug 17,None,Nilay Saha,True,Positive,mouse,brain,,ESI,UV-MALDESI,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH | 0.1% TFA,120000.0,33.0,176,864.0,4116.0,2022-08-24_00h20m06s,MeOH,medium,1.0,2889712.7027697493
1969,4448,2021-04-26_18h26m57s,20212304_nanoDESI_ratbrain4_GV,PNNL,Jessica Lukowski,True,Positive,rat,brain,wtype,ESI,NanoDESI,Orbitrap,Orbitrap,Other,none,MeOH,90% MeOH,197989.89873223333,47.0,67,2110.0,8703.0,2021-04-26_18h26m57s,MeOH,medium,1.0,1298409.461455452
282,825,2021-08-03_01h54m52s,20210722_GV_Ratbrain_AGCON,PNNL,Gregory Vandergrift,True,Positive,rat,brain,wildtype,ESI,NanoDESI,FTICR,FTICR,Other,none,Other,none,1200000.0,80.0,153,402.0,691.0,2021-08-03_01h54m52s,Other Solvent,high,1.0,523899.24840986246
1884,4211,2021-08-17_19h24m44s,20210813_jl_ratbrain_negmode_150um,PNNL,Jessica Lukowski,True,Negative,rat,brain,wildtype,MALDI,MALDI,FTICR,FTICR,NEDC,n-(1-naphthyl)ethylenediamine dihydrochloride (NEDC),MeOH,70% MeOH,280000.0,62.0,39,92.0,620.0,2021-08-17_19h24m44s,NEDC,high,1.0,916418.1578470976
270,808,2021-08-17_19h30m28s,20210814_jl_ratbrain_posmode,PNNL,Jessica Lukowski,True,Positive,rat,brain,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,280000.0,24.0,16,106.0,996.0,2021-08-17_19h30m28s,DHB,high,1.0,277630.59283249587
238,706,2021-10-19_18h46m56s,20210722_GV_Ratbrain_1-20352_chB.A_rs_SN0p5_mFT_2_158mstransient_TICnITAGC_SN0p0_centroid_recalib5ppmslice_1.5ppmtolerance,PNNL,Gregory Vandergrift,True,Positive,rat,brain,wildtype,ESI,NanoDESI,FTICR,FTICR,Other,none,Other,none,120000.0,125.0,54,134.0,194.0,2021-10-19_18h46m56s,Other Solvent,medium,0.5,344548.04055728734
236,703,2021-10-22_19h04m24s,1816_ratbrain_negative_midcap,PNNL,Jessica Lukowski,True,Negative,rat,brain,wildtype,ESI,DESI,Orbitrap,Q-Exactive-Orbitrap,Other,none,DMF,DMF/ACN,70000.0,79.0,43,108.0,127.0,2021-10-22_19h04m24s,DMF,low,1.0,2791243.6197351837
1816,4076,2021-10-22_19h04m41s,091816_ratbrain_noFAIMS_thickcap,PNNL,Jessica Lukowski,True,Negative,rat,brain,wildtype,ESI,DESI,Orbitrap,Q-Exactive-Orbitrap,Other,none,DMF,DMF/ACN,70000.0,46.0,57,173.0,187.0,2021-10-22_19h04m41s,DMF,low,1.0,2791243.6197351837
174,567,2021-12-21_20h41m15s,20211220_jl_mq_rat_brain_lipid_std_spot_neg_1,PNNL,Jessica Lukowski,True,Negative,rat,brain,wildtype,MALDI,MALDI,FTICR,FTICR,NEDC,n-(1-naphthyl)ethylenediamine dihydrochloride (NEDC),MeOH,70% MeOH,280000.0,31.0,50,119.0,1285.0,2021-12-21_20h51m19s,NEDC,high,0.5,458209.0789235488
135,481,2022-02-03_20h02m30s,"raw_SN0p0_(0, 0)-(67, 515)_3_2kV_1-35096_realigned_recalibrated_[IS+K]-norm_centroid_MSI_export",PNNL,Gregory Vandergrift,True,Positive,rat,brain,wildtype,ESI,NanoDESI,FTICR,FTICR,Other,none,Other,none,300000.0,76.0,97,244.0,584.0,2022-02-03_20h02m30s,Other Solvent,high,1.0,589386.6544610952
136,482,2022-02-03_20h15m22s,"raw_SN0p0_(0, 0)-(67, 515)_3_2kV_1-35096_realigned_recalibrated_[IS+H]-norm_centroid_MSI_export",PNNL,Gregory Vandergrift,True,Positive,rat,brain,wildtype,ESI,NanoDESI,FTICR,FTICR,Other,none,Other,none,300000.0,33.0,49,78.0,182.0,2022-02-03_20h15m22s,Other Solvent,high,1.0,589386.6544610952
1740,3871,2022-02-04_21h34m02s,"raw_SN0p0_(0, 0)-(67, 515)_3_2kV_1-35096_realigned_recalibrated_TIC-norm_centroid_MSI_export",PNNL,Gregory Vandergrift,True,Positive,rat,brain,wildtype,ESI,NanoDESI,FTICR,FTICR,Other,none,Other,none,300000.0,49.0,103,278.0,655.0,2022-02-04_21h34m02s,Other Solvent,high,1.0,589386.6544610952
1728,3851,2022-02-23_00h40m56s,20210722_GV_Ratbrain_1-20352_chB.A_rs_SN0p5_aFT_2_TICnITAGC_SN0p0_centroid_recalib5ppmslice_TICnormalized,PNNL,Gregory Vandergrift,True,Positive,rat,brain,wildtype,ESI,NanoDESI,FTICR,FTICR,Other,none,Other,none,600000.0,236.0,235,148.0,,2022-02-23_00h40m56s,Other Solvent,high,1.0,589386.6544610952
2708,5968,2017-05-17_16h29m23s,Servier_Ctrl_rat_brain_9aa,Servier,Mathieu Gaudin,True,Negative,rat,brain,control,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,180000.0,46.0,47,6.0,32.0,2017-05-17_16h29m23s,9AA,medium,1.0,6214936.839829642
2884,6200,2017-06-14_16h32m33s,MALDI_brain_2xNADEL_aFT,SpectroSwiss,Nagornov Spectroswiss,True,Positive,rat,brain,,MALDI,MALDI,FTICR,FTICR,Other,none,Other,,800000.0,59.0,47,89.0,755.0,2017-06-14_16h32m33s,Other Matrix,high,1.0,119138.15016652308
3168,6811,2018-04-16_22h30m01s,IMAGE120K__Elite_170106182454_RECAL_3,Spectroglyph LLC,Mikhail Belov,True,Negative,rat,brain,frozen,MALDI,MALDI,Orbitrap,Orbitrap,Norharmane,Norharmane,Other,none,120000.0,9.0,65,195.0,459.0,2018-04-16_22h30m01s,Norharmane,medium,1.0,3661300.065489026
1067,2499,2018-05-13_21h10m04s,IMAGE120K_ELITE_centroid_6432,Spectroglyph LLC,Mikhail Belov,True,Negative,rat,brain,control,MALDI,MALDI,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,none,120000.0,64.0,43,74.0,149.0,2018-05-13_21h10m04s,DHB,medium,0.5,736290.4396631093
487,1333,2020-08-11_14h47m17s,Brain 8_24 hours_pos,U Copenhagen,Pernille Jørgensen,True,Positive,mouse,brain,wildtype,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,140000.0,132.0,332,1659.0,2009.0,2020-08-11_14h47m17s,Other Solvent,medium,0.3333333333333333,637714.5726577875
2096,4725,2020-08-11_14h50m21s,Brain 5_2 hours_neg,U Copenhagen,Pernille Jørgensen,True,Negative,mouse,brain,wildtype,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,140000.0,218.0,361,550.0,574.0,2020-08-11_11h05m54s,Other Solvent,medium,0.3333333333333333,846635.6276885801
488,1334,2020-08-11_15h03m07s,Brain 4_6 hours_neg,U Copenhagen,Pernille Jørgensen,True,Negative,mouse,brain,wildtype,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,140000.0,166.0,262,584.0,558.0,2020-08-11_11h05m54s,Other Solvent,medium,0.3333333333333333,846635.6276885801
491,1337,2020-08-11_15h11m00s,Brain 4_6 hours_pos,U Copenhagen,Pernille Jørgensen,True,Positive,mouse,brain,wildtype,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,140000.0,35.0,289,1644.0,8398.0,2020-08-11_14h47m17s,Other Solvent,medium,0.3333333333333333,637714.5726577875
2098,4727,2020-08-11_15h13m26s,Brain 19_ 5 days_neg,U Copenhagen,Pernille Jørgensen,True,Negative,mouse,brain,wildtype,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,140000.0,126.0,151,279.0,219.0,2020-08-11_15h13m26s,Other Solvent,medium,1.0,2539906.8830657406
2992,6477,2016-11-25_12h00m00s,150618-RatBrain-DHA-NEG-centroid,U Melbourne,Berin Boughton,True,Negative,rat,brain,wildtype,MALDI,MALDI,FTICR,FTICR,DHAP,"2,5-dihydroxyacetophenone (DHA)",Other,,720000.0,35.0,46,118.0,867.0,2016-11-25_12h00m00s,DHAP,high,1.0,885243.9086692526
1736,3866,2016-12-01_18h11m49s,150616_BPYN_Rat_Brain_POS_centroid,U Melbourne,Berin Boughton,True,Positive,rat,brain,wildtype,MALDI,MALDI,FTICR,FTICR,Other,BPYN,Other,,720000.0,46.0,38,172.0,1878.0,2016-12-01_18h11m49s,Other Matrix,high,1.0,360648.8535644644
