ions,moleculeNames
C21H32O2+H+,"5-alpha-Pregnan-3,20-dione"
C23H42O4+H+,Lepidiumterpenyl ester
C27H52O4+Na+,MG(24:1(15Z)/0:0/0:0)
C26H52NO6P+Na+,LysoPC(P-18:1(9Z))
C38H64O5+Na+,DG(15:0/0:0/20:5n3)
C45H78O2+Na+,Palmitoylstigmasterol
C49H97N2O6P+H+,SM(d18:0/26:1(17Z))
C37H70O5+Na+,DG(20:0/0:0/14:1n5)
C52H100O5+K+,TG(16:1(9Z)/15:0/o-18:0)
C50H88NO8P+Na+,"PE-NMe(22:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
C17H34O4+K+,MG(i-14:0/0:0/0:0)
C49H92O6+Na+,TG(18:0/14:0/14:1(9Z))
C34H64NO8P+H+,PE-NMe(14:1(9Z)/14:1(9Z))
C39H68O5+H+,DG(18:1n9/0:0/18:3n3)
C21H28O4+Na+,11-nor-9-carboxy-Delta(9)-tetrahydrocannabinol
C40H64O3+K+,CE(3M5)
C57H98O5+Na+,"TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:1(9Z)/o-18:0)"
C45H68O5+H+,DG(20:5n3/0:0/22:5n3)
C73H128O6+K+,"TG(24:1(15Z)/22:5(4Z,7Z,10Z,13Z,16Z)/24:1(15Z))"
C54H102O6+K+,TG(22:0/15:0/14:1(9Z))
C28H54NO7P+Na+,"LysoPC(20:2(11Z,14Z))"
C35H65O8P+K+,"PA(18:2(9Z,12Z)/14:0)"
C33H44O+H+,Citranaxanthin
C47H76O2+H+,"CE(20:4(8Z,11Z,14Z,17Z))"
C50H94O6+Na+,TG(18:0/15:0/14:1(9Z))
C33H44O2+H+,Reticulataxanthin
C21H41O7P+Na+,DHAP(18:0)
C29H50O3+Na+,Schleicherastatin 3
C22H26N4+H+,(-)-Chimonanthine
C17H32O4+K+,MG(14:1(9Z)/0:0/0:0)
C32H48O7+Na+,Hovenidulcigenin A
C33H65O10P+Na+,PG(i-14:0/i-13:0)
C50H99O8P+Na+,PA(i-22:0/a-25:0)
C40H60O4+H+,Cycloartanyl ferulate
C24H48NO7P+Na+,LysoPC(16:1(9Z))
C42H82NO10P+Na+,PS(22:0/14:0)
C28H51NO7P+Na+,2-Arachidonoylglycerophosphocholine
C38H60O9+H+,Tsugaric acid A 21-glucosyl ester
C20H26O4+H+,"3,3',4,4'-Tetrahydroxy-5,5'-diisopropyl-2,2'-dimethylbiphenyl"
C22H30O2+Na+,3a-Hydroxydesogestrel
C49H94O6+Na+,TG(i-19:0/19:0/8:0)
C36H62O9+Na+,Ginsenoside F1
C42H75O10P+Na+,"PG(20:4(5Z,8Z,11Z,14Z)/16:0)"
C18H28N2O4+H+,Acebutolol
C21H40O4+Na+,Monooleoylglycerol
C24H40O6+H+,"3a,7b,21-Trihydroxy-5b-cholanoic acid"
C26H54NO6P+H+,LysoPC(P-18:0)
C18H34O5+Na+,"(9S,10E,12S,13S)-9,12,13-Trihydroxy-10-octadecenoic acid"
C36H60O8+Na+,Ginsenoside Rh4
C15H11I4NO4+Na+,Thyroxine
C29H52O2+K+,"5-Tricosyl-1,3-benzenediol"
C20H34O3+Na+,5-Hexyl-3-methyl-2-furannonanoic acid
C21H30O2+Na+,"pregn-5-ene-3,20-dione"
C51H92O6+H+,TG(16:1(9Z)/14:1(9Z)/18:1(11Z))
C18H30O6+Na+,"2,3-dinor-6-oxoprostaglandin F1alpha"
C35H60O6+H+,Schottenol 3-glucoside
C79H148O17P2+H+,CL(18:1(9Z)/18:1(9Z)/18:1(9Z)/16:0)
C73H130O6+K+,"TG(24:1(15Z)/22:4(7Z,10Z,13Z,16Z)/24:1(15Z))"
C39H72O5+K+,DG(18:1n7/0:0/18:1n9)
C35H67NO4+K+,"N-(2R-Hydroxyhexadecanoyl)-2S-amino-9-methyl-4E,8E-octadecadiene-1,3R-diol"
C35H67O8P+K+,PA(18:1(9Z)/14:0)
C53H94O6+H+,"TG(18:1(11Z)/14:0/18:3(9Z,12Z,15Z))"
C24H38O4+H+,12alpha-hydroxy-3-oxo-5beta-cholan-24-oic Acid
C37H64O9+K+,Ginsenoside Rh5
C19H36O2+Na+,Nonadeca-10(Z)-enoic acid
C73H128O6+Na+,"TG(24:1(15Z)/22:5(4Z,7Z,10Z,13Z,16Z)/24:1(15Z))"
C52H92O6+H+,"TG(16:1(9Z)/15:0/18:3(9Z,12Z,15Z))"
C33H65O8P+H+,PA(i-22:0/8:0)
C28H33O14+Na+,Pelargonidin 3-sophoroside
C56H100O6+K+,"TG(18:2(9Z,12Z)/15:0/20:2n6)"
C22H32O2+Na+,"(Z,Z)-2-Methyl-5-(8,11,14-pentadecatrienyl)-1,3-benzenediol"
C47H97N2O6P+K+,SM(d18:0/24:0)
C26H42O4+Na+,Hexadecyl ferulate
C32H66NO7P+Na+,LysoPC(24:0)
C54H101NO13+Na+,Lactosylceramide (d18:1/24:1(15Z))
C37H71O8P+H+,PA(20:1(11Z)/14:0)
C40H50O4+H+,"7,8-Dehydroastaxanthianthin"
C18H26N2O6+H+,Bufotenine O-glucoside
C20H34O6+Na+,"10,11-dihydro-20-dihydroxy-LTB4"
C26H53NO7P+K+,2-Oleoylglycerophosphocholine
C30H52NO7P+H+,"LysoPC(22:5(7Z,10Z,13Z,16Z,19Z))"
C49H94NO8P+H+,PE-NMe2(18:1(11Z)/24:1(15Z))
C38H66O5+Na+,DG(15:0/0:0/20:4n3)
C54H98O6+K+,"TG(18:1(11Z)/15:0/18:2(9Z,12Z))"
C30H48O6+H+,"(3beta,19alpha)-3,19,23,24-Tetrahydroxy-12-oleanen-28-oic acid"
C28H52O8+H+,Menthol propylene glycol carbonate
C24H32O5+H+,Lucidone B
C53H98O6+Na+,"1-tetradecanoyl-2,3-dioleoyl-sn-glycerol"
C43H79O8P+K+,"PA(20:3(8Z,11Z,14Z)/20:0)"
C50H90O6+H+,"TG(14:1(9Z)/15:0/18:2(9Z,12Z))"
C23H38O4+H+,Persenone A
C56H98O6+K+,"TG(20:2n6/15:0/18:3(9Z,12Z,15Z))"
C51H98O6+Na+,TG(i-19:0/19:0/10:0)
C53H92O6+H+,"TG(18:2(9Z,12Z)/14:1(9Z)/18:2(9Z,12Z))"
C28H52NO7P+Na+,"LysoPC(20:3(8Z,11Z,14Z))"
C34H66NO8P+H+,PE-NMe(14:1(9Z)/14:0)
C22H28O6+H+,"5,7-dihydroxy-4-(1-hydroxypropyl)-6-(3-methylbut-2-en-1-yl)-8-(3-methylbutanoyl)-2H-chromen-2-one"
C54H90O6+H+,"TG(18:3(9Z,12Z,15Z)/15:0/18:4(6Z,9Z,12Z,15Z))"
C20H28O6+H+,5-(4'-Hydroxyphenyl)-gamma-valerolactone-4'-O-glucuronide
C49H96NO8P+Na+,PE-NMe2(18:1(11Z)/24:0)
C42H68O5+Na+,DG(18:2n6/0:0/20:5n3)
C44H73O10P+H+,"PG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:1(9Z))"
C21H42NO2+K+,9-Hexadecenoylcholine
C31H56O2+K+,"5-Pentacosyl-1,3-benzenediol"
C34H68NO7P+Na+,lysoPC(26:1(5Z))
C36H66O5+K+,DG(14:0/0:0/18:2n6)
C43H64O5+H+,DG(20:5n3/0:0/20:5n3)
C16H30O5+Na+,xi-8-Hydroxyhexadecanedioic acid
C52H94O6+H+,"TG(16:1(9Z)/15:0/18:2(9Z,12Z))"
C24H44O6+H+,Sorbitan oleate
C35H62O8+K+,Annoglaxin
C30H50NO7P+H+,"LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
C35H75N2O6P+Na+,SM(d18:0/12:0)
C22H34O2+Na+,Ethyl icosapentate
C24H40O4+H+,"3b,12b-Dihydroxy-5b-cholanoic acid"
C46H82NO7P+K+,"2-O-(4,7,10,13,16,19-Docosahexaenoyl)-1-O-hexadecylglycero-3-phosphocholine"
C38H62O9+Na+,Goyaglycoside c
C15H32O6+Na+,"1,2,3-Tris(1-ethoxyethoxy)propane"
C18H32O5+K+,"(9R,10S,12Z)-9,10-Dihydroxy-8-oxo-12-octadecenoic acid"
C59H90O4+H+,Ubisemiquinone
C40H60O4+K+,Cycloartanyl ferulate
C40H56O8+H+,3-O-trans-Feruloyleuscaphic acid
C24H49O9P+Na+,2-Stearoylglycerophosphoglycerol
C22H28O7+H+,Myristicanol B
C22H32O6+H+,Dihydrofukinolide
C16H28N2O4+Na+,Oseltamivir
C20H30O6+Na+,Sporotrichiol
C57H100O5+H+,"TG(22:5(7Z,10Z,13Z,16Z,19Z)/14:1(9Z)/o-18:0)"
C32H62O4+Na+,FAHFA(16:0/6-O-16:0)
C32H60O6+H+,TG(13:0/8:0/8:0)
C40H74O5+K+,DG(15:0/0:0/22:2n6)
C41H76O5+K+,DG(18:1n7/0:0/20:1n9)
C37H64O8+K+,9-Oxoasimicinone
C48H90O6+Na+,TG(16:0/15:0/14:1(9Z))
C23H28N4+H+,Calycanthidine
C52H99NO13+Na+,Lactosylceramide (d18:1/22:0)
C35H66O6+K+,TG(16:0/8:0/8:0)
C44H82NO10P+H+,PS(24:1(15Z)/14:1(9Z))
C57H102O5+H+,"TG(22:5(7Z,10Z,13Z,16Z,19Z)/14:0/o-18:0)"
C46H93N2O6P+H+,SM(d18:1/23:0)
C24H32O6+H+,"7-[(2,6,7-trihydroxy-2,5,5,8a-tetramethyl-decahydronaphthalen-1-yl)methoxy]-2H-chromen-2-one"
C21H38O4+Na+,"MG(18:2(9Z,12Z)/0:0/0:0)"
C34H46O7+H+,25-Cinnamoyl-vulgaroside
C50H96O6+Na+,TG(19:0/20:0/8:0)
C23H36O4+H+,[12]-Gingerdione
C18H31O4+Na+,13-HPODE(1-)
C32H64NO7P+H+,LysoPC(24:1(15Z))
C20H30O7+Na+,Cinncassiol C3
C53H96O6+H+,TG(16:1(9Z)/18:1(9Z)/16:1(9Z))
C29H41NO4+Na+,N-Arachidonoyl tyrosine
C56H100O5+K+,"TG(20:5(5Z,8Z,11Z,14Z,17Z)/15:0/o-18:0)"
C35H56O5+K+,Hericene A
C18H32O6+Na+,"5(6)-Pentyl-1,4-dioxan-2-one"
C22H40O4+Na+,Octadecyl fumarate
C41H83N2O6P+Na+,stearoyl sphingomyelin
C40H60O4+Na+,Cycloartanyl ferulate
C20H33O6+Na+,19-hydroxyprostaglandin H1(1-)
C21H36O5+Na+,gamma-Eudesmol rhamnoside
C49H88O6+H+,TG(16:1(9Z)/14:1(9Z)/16:1(9Z))
C25H46O6+H+,"2,3-Diacetoxypropyl stearate"
C41H66O5+Na+,DG(18:3n3/0:0/20:4n3)
C36H69O8P+H+,PA(18:1(9Z)/15:0)
C45H76O2+Na+,"CE(18:2(9Z,12Z))"
C42H84NO7P+Na+,PC(o-18:1(9Z)/16:0)
C45H81O8P+Na+,"PA(22:2(13Z,16Z)/20:2(11Z,14Z))"
C32H64NO7P+Na+,LysoPC(24:1(15Z))
C22H36O2+Na+,Ethyl Arachidonate
C45H89N2O6P+Na+,SM(d18:1/22:1(13Z))
C26H52NO7P+H+,2-oleoyl-sn-glycero-3-phosphocholine
C17H26N4O+Na+,Emedastine
C51H102NO8P+Na+,PE-NMe2(20:0/24:0)
C51H100NO8P+H+,PE-NMe2(24:1(15Z)/20:0)
C30H52O6+K+,Fasciculol C
C60H94O6+Na+,"TG(20:5(5Z,8Z,11Z,14Z,17Z)/15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
C29H50O4+H+,"(3beta,22R,23R,24S)-3,22,23-Trihydroxystigmastan-6-one"
C20H8I4O5+H+,Erythrosine
C51H90O6+H+,"TG(16:1(9Z)/14:1(9Z)/18:2(9Z,12Z))"
C49H97N2O6P+Na+,SM(d18:0/26:1(17Z))
C37H53NO3+H+,Debenzoylzucchini factor B
C55H96O5+K+,"TG(20:5(5Z,8Z,11Z,14Z,17Z)/14:1(9Z)/o-18:0)"
C51H90O2+K+,CE(24:1(15Z))
C37H64O5+K+,DG(16:1n7/0:0/18:3n6)
C20H34O2+Na+,"11,14,17-Eicosatrienoic acid"
C28H48O6+Na+,24-Epibrassinolide
C67H102O6+Na+,"TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:2n6/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
C34H65NO3+Na+,"N-[(4E,8E)-1,3-dihydroxyoctadeca-4,8-dien-2-yl]hexadecanamide"
C31H46O2+Na+,Vitamin K1
C21H42O3+Na+,Propylene glycol stearate
C27H48O+K+,Epi-coprostanol
C49H97N2O6P+K+,SM(d18:0/26:1(17Z))
C41H68O7+H+,DG(9M5/9M5/0:0)
C32H50O7+Na+,Hovenidulcigenin B
C41H60O4+H+,Oryzanol C
C35H54O2+Na+,Panaxynol linoleate
C20H32O5+H+,5-hydroperoxy-15-HETE
C80H156O17P2+K+,CL(8:0/i-21:0/i-21:0/i-21:0)
C42H81NO11S+Na+,3-O-Sulfogalactosylceramide (d18:1/18:0)
C30H52O6+H+,Fasciculol C
C47H93N2O6P+H+,SM(d18:1/24:1(15Z))
C29H57N5O12+H+,Gluten exorphin C
C22H42O6+Na+,Sorbitan palmitate
C46H84NO8P+Na+,"PE-NMe(22:2(13Z,16Z)/18:2(9Z,12Z))"
C25H30NO3+Na+,Trospium
C23H43O7P+Na+,"LysoPA(20:2(11Z,14Z)/0:0)"
C21H34O3+H+,[10]-Paradol
C25H26O4+H+,Shinflavanone
C22H46NO7P+Na+,1-Heptadecanoylglycerophosphoethanolamine
C34H68NO6P+H+,CerP(d18:1/16:0)
C34H64O6+Na+,TG(15:0/8:0/8:0)
C53H100O5+Na+,"TG(18:2(9Z,12Z)/14:0/o-18:0)"
C18H30O2+Na+,Linolenelaidic acid
C21H34O2+H+,Methyl Arachidonate
C22H34O6+Na+,"3'-Methoxy-[6]-Gingerdiol 3,5-diacetate"
C47H72O5+H+,DG(22:5n3/0:0/22:5n3)
C32H42O+H+,(all-E)-6'-Apo-y-caroten-6'-al
C24H50NO7P+H+,LysoPC(16:0)
C18H34O3+K+,"9,10-epoxyoctadecanoic acid"
C34H70NO6P+Na+,CerP(d18:0/16:0)
C44H72O5+Na+,DG(18:2n6/0:0/22:5n3)
C20H31O5+Na+,15-dehydro-prostaglandin E1(1-)
C37H66O8+K+,Purpureacin 2
C47H97N2O6P+Na+,SM(d18:0/24:0)
C44H84NO10P+Na+,PS(24:1(15Z)/14:0)
