ds_id,name,group,submitter,is_public,polarity,organism,organism_part,condition,source,raw_source,analyzer,raw_analyzer,matrix,raw_matrix,solvent,raw_solvent,rp,fdr5,fdr10,fdr20,fdr50,batch_grouping,matrix_solvent,rp_range,batch_weight,weight,include_in_recal,include_in_pilot
2018-04-23_10h21m21s,180423kidney_ft - root mean square,Bruker,Corinna Henkel,True,Negative,rat,kidney,wildtype,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),MeOH,50%MeOH,400000.0,26.0,16.0,6.0,10.0,2018-04-23_10h21m21s,9AA,high,1.0,10785624107.97758,True,False
2018-04-23_11h43m58s,180413_kidney_ft_negS_9aasmall - root mean square,Bruker,Corinna Henkel,True,Negative,rat,kidney,wildtype,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),MeOH,50%MeOH,400000.0,26.0,16.0,6.0,10.0,2018-04-23_11h43m58s,9AA,high,1.0,10785624107.97758,False,False
2019-06-13_20h45m05s,t-MALDI-2 - Fig 4 ii - 0.8 um - cerebellum - pos,Dreisewerd group,Marcel Niehaus,True,Positive,mouse,brain,wildtype,MALDI,t-MALDI-2,Orbitrap,Orbitrap,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Acetone,50/50 acetone/water,70000.0,40.0,51.0,89.0,260.0,2019-06-13_20h45m05s,HCCA,low,1.0,30528509.594557755,False,False
2017-07-27_08h59m06s,336_90_1_-rms2,HMGU,Achim Buck,True,Negative,human,epithelial cells,cancer,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,70000.0,9.0,46.0,34.0,846.0,2017-07-27_08h59m06s,9AA,low,1.0,14849478368.092216,False,False
2017-07-31_12h54m18s,04 - root mean square,HMGU,Na Sun,True,Negative,mouse,whole organism,control,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,70000.0,21.0,45.0,55.0,382.0,2017-07-31_12h54m18s,9AA,low,1.0,33944745367.905933,False,False
2017-08-03_12h25m10s,region20170803 - root mean square,HMGU,Na Sun,True,Negative,mouse,whole organism,control,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,70000.0,8.0,53.0,82.0,687.0,2017-08-01_12h11m21s,9AA,low,0.5,16972372683.952967,False,False
2017-11-02_12h29m17s,regions - root mean square,HMGU,Na Sun,True,Negative,human,n/a,control,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,70000.0,6.0,35.0,35.0,949.0,2017-11-20_15h57m47s,9AA,low,0.5,17957055406.466778,True,False
2017-11-07_10h36m47s,180_F,HMGU,Na Sun,True,Negative,human,n/a,control,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,70000.0,34.0,11.0,30.0,236.0,2017-11-07_10h36m47s,9AA,low,1.0,35914110812.933556,False,False
2017-11-07_11h27m09s,180_R,HMGU,Na Sun,True,Negative,human,n/a,control,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,70000.0,22.0,16.0,29.0,106.0,2017-11-07_11h27m09s,9AA,low,1.0,35914110812.933556,False,False
2017-11-10_13h10m56s,167average,HMGU,Na Sun,True,Negative,human,n/a,control,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,140000.0,3.0,29.0,24.0,816.0,2017-11-10_13h10m56s,9AA,medium,1.0,20565291706.723312,False,False
2018-02-21_09h44m22s,20180221_Liver_PA,HMGU,Achim Buck,True,Negative,mouse,liver,n/a,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,140000.0,12.0,12.0,7.0,60.0,2018-02-21_09h44m22s,9AA,medium,1.0,20553193642.047512,False,False
2018-02-21_12h25m02s,20180221__ROI02_Liver_PA,HMGU,Achim Buck,True,Negative,mouse,liver,n/a,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,none,140000.0,13.0,22.0,34.0,109.0,2018-02-21_12h25m02s,9AA,medium,1.0,20553193642.047512,False,False
2018-02-22_10h25m27s,whole liver_PA_root mean square,HMGU,Achim Buck,True,Negative,mouse,liver,n/a,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,none,100000.0,13.0,81.0,126.0,2215.0,2018-02-22_10h25m27s,9AA,medium,1.0,20553193642.047512,False,False
2017-05-02_12h35m09s,molecular_layer_brain_mouse,HS Mannheim,Denis Abu Sammour,True,Negative,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,Other,4-Phenyl-alpha-cyanocinnamic acid amide,Other,,1600000.0,7.0,47.0,44.0,101.0,2017-05-02_12h35m09s,Other Matrix,high,1.0,10550522263.544329,False,False
2017-05-05_14h53m42s,fibers_layer_mouse_brain,HS Mannheim,Denis Abu Sammour,True,Negative,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,Other,4-Phenyl-alpha-cyanocinnamic acid amide,Other,,1600000.0,26.0,30.0,42.0,84.0,2017-05-05_14h53m42s,Other Matrix,high,1.0,10550522263.544329,False,False
2017-05-12_11h53m32s,female vs males wild type,HS Mannheim,Denis Abu Sammour,True,Positive,mouse,liver,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,452400.0,45.0,38.0,190.0,616.0,2017-05-12_11h53m32s,DHB,high,1.0,5806694809.249819,False,False
2017-08-07_13h21m54s,GIST_sampleJ_normal_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,human,liver,normal,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,57.0,129.0,288.0,340.0,2017-08-07_13h21m54s,DHB,high,1.0,25821669161.54717,False,False
2017-08-11_12h31m52s,GIST_sampleL_normal_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,human,liver,normal,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,25.0,73.0,185.0,366.0,2017-08-11_12h31m52s,DHB,high,1.0,25821669161.54717,False,False
2017-08-16_15h51m46s,GIST_sampleK_tumor_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,human,liver,"cancer, metastatic, gist",MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,64.0,116.0,267.0,498.0,2017-08-16_15h51m46s,DHB,high,1.0,1406589349.9896002,False,False
2017-08-16_15h52m56s,GIST_sampleK_normal_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,human,liver,normal,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,67.0,97.0,241.0,365.0,2017-08-16_15h52m56s,DHB,high,1.0,25821669161.54717,True,True
2017-08-22_15h16m21s,GIST_sampleA_normal_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,human,liver,normal,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,59.0,67.0,308.0,319.0,2017-08-22_15h16m21s,DHB,high,1.0,25821669161.54717,True,False
2017-08-22_15h17m27s,GIST_sampleA_tumor_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,human,liver,"cancer, metastatic, gist",MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,24.0,57.0,125.0,443.0,2017-08-22_15h17m27s,DHB,high,1.0,1406589349.9896002,False,False
2017-08-30_09h25m09s,GIST_sampleAA_normal_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,human,small intestine,normal,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,85.0,166.0,246.0,295.0,2017-08-30_09h25m09s,DHB,high,1.0,3732226577.5105186,False,False
2017-09-07_15h12m25s,GIST_sampleU_normal_FTICR,HS Mannheim,Denis Abu Sammour,True,Positive,human,liver,normal,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,459195.0,42.0,67.0,225.0,340.0,2017-09-07_15h12m25s,DHB,high,1.0,25821669161.54717,False,False
2016-10-01_12h04m55s,ICL//A 50 jcn S7-centroid,ICL,James McKenzie,True,Negative,human,colon,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,95.0,109.0,62.0,85.0,2016-10-01_12h04m55s,Other Solvent,low,1.0,37269533492.07412,False,False
2016-10-01_12h09m56s,ICL//A29 junction S5-centroid,ICL,James McKenzie,True,Negative,human,colon,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,77.0,166.0,181.0,186.0,2016-10-01_12h25m48s,Other Solvent,low,0.125,4658691686.509265,False,False
2016-10-01_12h10m37s,ICL//A31 CT S3-centroid,ICL,James McKenzie,True,Negative,human,colon,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,164.0,86.0,33.0,72.0,2016-10-01_12h23m21s,Other Solvent,low,0.025,931738337.301853,False,False
2016-10-01_12h11m41s,ICL//A32 Jcn S6-centroid,ICL,James McKenzie,True,Negative,human,colon,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,111.0,217.0,501.0,596.0,2016-10-01_12h11m41s,Other Solvent,low,1.0,37269533492.07412,False,False
2016-10-01_12h12m30s,ICL//A35 centre S4-centroid,ICL,James McKenzie,True,Negative,human,colon,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,203.0,144.0,224.0,117.0,2016-10-01_12h05m45s,Other Solvent,low,0.5,18634766746.03706,False,False
2016-10-01_12h12m43s,ICL//A35 junction S5-centroid,ICL,James McKenzie,True,Negative,human,colon,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,153.0,189.0,363.0,352.0,2016-10-01_12h25m48s,Other Solvent,low,0.125,4658691686.509265,False,False
2016-10-01_12h13m07s,ICL//A36 CP S3-centroid,ICL,James McKenzie,True,Negative,human,colon,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,135.0,115.0,111.0,66.0,2016-10-01_12h13m07s,Other Solvent,low,1.0,37269533492.07412,False,False
2016-10-01_12h16m09s,ICL//A39 Centre S5-centroid,ICL,James McKenzie,True,Negative,human,colon,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,142.0,133.0,382.0,598.0,2016-10-01_12h16m09s,Other Solvent,low,1.0,37269533492.07412,False,False
2016-10-01_12h17m54s,ICL//A44 junction S6-centroid,ICL,James McKenzie,True,Negative,human,colon,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,108.0,99.0,222.0,239.0,2016-10-01_12h25m48s,Other Solvent,low,0.125,4658691686.509265,False,False
2016-10-01_12h18m06s,ICL//A45 junction S5-centroid,ICL,James McKenzie,True,Negative,human,colon,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,95.0,119.0,181.0,213.0,2016-10-01_12h25m48s,Other Solvent,low,0.125,4658691686.509265,False,False
2016-10-01_12h20m51s,ICL//A53 CT S2-centroid,ICL,James McKenzie,True,Negative,human,colon,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,245.0,269.0,237.0,54.0,2016-10-01_12h23m21s,Other Solvent,low,0.025,931738337.301853,False,False
2016-10-01_12h21m53s,ICL//A55 CT S3-centroid,ICL,James McKenzie,True,Negative,human,colon,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,216.0,123.0,75.0,,2016-10-01_12h23m21s,Other Solvent,low,0.025,931738337.301853,False,False
2016-10-01_12h25m14s,ICL//A64 CT S2-centroid,ICL,James McKenzie,True,Negative,human,colon,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,213.0,243.0,392.0,94.0,2016-10-01_12h23m21s,Other Solvent,low,0.025,931738337.301853,False,False
2017-03-15_12h18m30s,0600130A4-,ICL,James McKenzie,True,Negative,human,ovary,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,46.0,50.0,45.0,50.0,2017-03-15_12h24m56s,Other Solvent,medium,0.02631578947368421,827601784.9736636,False,False
2017-03-15_12h19m12s,0600145A4-,ICL,James McKenzie,True,Negative,human,ovary,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,91.0,24.0,4.0,36.0,2017-03-15_12h24m56s,Other Solvent,medium,0.02631578947368421,827601784.9736636,False,False
2017-03-15_12h21m56s,0800108A5-,ICL,James McKenzie,True,Negative,human,ovary,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,218.0,105.0,9.0,97.0,2017-03-15_12h24m56s,Other Solvent,medium,0.02631578947368421,827601784.9736636,False,False
2017-03-15_12h23m46s,0900229A5-,ICL,James McKenzie,True,Negative,human,ovary,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,87.0,72.0,36.0,41.0,2017-03-15_12h24m56s,Other Solvent,medium,0.02631578947368421,827601784.9736636,False,False
2017-03-15_14h21m56s,0600130A5+,ICL,James McKenzie,True,Positive,human,ovary,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,163.0,519.0,759.0,970.0,2017-03-15_14h26m50s,Other Solvent,medium,0.024390243902439025,888825332.0590265,False,False
2017-03-15_14h34m49s,0900192A4+,ICL,James McKenzie,True,Positive,human,ovary,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,256.0,193.0,270.0,174.0,2017-03-15_14h26m50s,Other Solvent,medium,0.024390243902439025,888825332.0590265,False,False
2017-05-07_06h59m41s,80TopL_50TopR_70BottomL_60BottomR-centroid,ICL,Zoltan Takats,True,Negative,human,colon,cancer,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,140000.0,135.0,165.0,226.0,193.0,2017-05-07_07h23m48s,Other Solvent,medium,0.2,373509970.9238215,False,False
2017-05-11_13h41m04s,"47TopRight, 57BottomRight, 67BottomLeft, 77TopLeft-centroid",ICL,James McKenzie,True,Negative,human,liver,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,245.0,144.0,93.0,180.0,2017-05-11_13h40m40s,Other Solvent,medium,0.2,2403107598.049332,False,False
2017-05-11_13h41m49s,"207TopRight, 217 BottomRight, 227BottomLeft, 237TopLeft-centroid",ICL,James McKenzie,True,Negative,human,liver,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,179.0,139.0,103.0,166.0,2017-05-11_13h42m13s,Other Solvent,medium,0.14285714285714285,1716505427.1780941,False,False
2017-09-27_10h13m43s,"40TopL,10TopL,30BottomL,20BottomR-centroid",ICL,James McKenzie,True,Negative,human,colon,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,154.0,204.0,124.0,167.0,2017-09-27_10h13m43s,Other Solvent,medium,1.0,28455252849.602425,False,False
2017-11-16_16h38m16s,LNTO42_7_2-RECAL,ICL,James McKenzie,True,Negative,human,lymph node,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,N/A,Other,,100000.0,121.0,46.0,,42.0,2017-11-16_16h37m44s,Other Solvent,medium,0.0136986301369863,23790526.29021464,False,False
2020-06-09_16h59m40s,2014_4_18_5 um corn leaf,Iowa State University,Josiah Rensner,True,Negative,maize,leaf,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,42.0,71.0,253.0,72.0,2020-06-09_16h59m40s,DAN,low,1.0,58399373364.678604,False,False
2020-06-11_16h40m15s,2016_2_26_RECAL_MaizeLeaf_B73_distal_5um_FTMS_825_10shots,Iowa State University,Josiah Rensner,True,Negative,maize,leaf,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,5.0,31.0,17.0,20.0,2020-06-11_16h40m15s,DAN,low,1.0,58399373364.678604,True,True
2020-06-11_23h00m11s,2014_07_20_RECAL_2week_2ndleaf_base_DAN_neg,Iowa State University,Josiah Rensner,True,Negative,maize,leaf,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,25.0,16.0,72.0,82.0,2020-06-11_23h00m11s,DAN,low,1.0,58399373364.678604,False,False
2020-06-11_23h39m06s,2016_1_25_RECAL_BM_distal_MaizeLeaf_FTMS_5um_DAN_835laser,Iowa State University,Josiah Rensner,True,Negative,maize,leaf,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,15.0,19.0,123.0,74.0,2020-06-11_23h39m06s,DAN,low,1.0,58399373364.678604,False,False
2020-06-12_00h12m15s,2016_1_26_RECAL_MB_distal_5um_DAN_835laser_FTMS,Iowa State University,Josiah Rensner,True,Negative,maize,leaf,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,6.0,26.0,136.0,181.0,2020-06-12_00h12m15s,DAN,low,1.0,58399373364.678604,False,False
2020-06-12_16h35m45s,2014_06_05_RECAL_Day,Iowa State University,Josiah Rensner,True,Negative,maize,leaf,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,5.0,68.0,163.0,243.0,2020-06-12_16h35m45s,DAN,low,1.0,58399373364.678604,False,False
2020-06-12_17h14m59s,2014_06_24_RECAL_Dark_5_mid_DAN_neg,Iowa State University,Josiah Rensner,True,Negative,maize,leaf,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,24.0,20.0,134.0,157.0,2020-06-12_17h14m59s,DAN,low,1.0,58399373364.678604,False,False
2020-06-12_17h38m35s,2014_06_24_RECAL_Dark_5_mid_DAN_neg_140624202328,Iowa State University,Josiah Rensner,True,Negative,maize,leaf,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,24.0,69.0,149.0,168.0,2020-06-12_17h38m35s,DAN,low,1.0,58399373364.678604,False,False
2020-06-12_17h58m11s,2014_06_08_RECAL_Night_tip_A_DAN_Neg,Iowa State University,Josiah Rensner,True,Negative,maize,leaf,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,42426.406871192856,26.0,55.0,95.0,129.0,2020-06-12_17h58m11s,DAN,low,1.0,58399373364.678604,False,False
2020-07-07_17h13m26s,DAN_neg_T24_S2_Sec23_2013_12_30,Iowa State University,Josiah Rensner,True,Negative,maize,seed,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,23,42426.406871192856,61.0,70.0,124.0,195.0,2020-07-07_17h13m26s,DAN,low,1.0,63273033208.72956,False,False
2020-07-07_17h14m07s,2013_12_31_B73_R1_T24_S2_Sec24_9AA_Neg,Iowa State University,Josiah Rensner,True,Negative,maize,seed,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,9AA,9-aminoacridine (9AA),Other,23,42426.406871192856,43.0,43.0,115.0,19.0,2020-07-07_17h25m54s,9AA,low,0.3333333333333333,46728140041.779076,False,False
2020-07-07_17h22m05s,2013_12_31_B73_R1_T24_S4_Sec23_DAN_Neg,Iowa State University,Josiah Rensner,True,Negative,maize,seed,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,23,42426.406871192856,111.0,83.0,181.0,10.0,2020-07-07_17h22m05s,DAN,low,0.5,31636516604.36478,False,False
2020-07-07_17h23m30s,2013_12_30_B73_R1_T24_S3_Sec23_DAN_Neg,Iowa State University,Josiah Rensner,True,Negative,maize,seed,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,23,42426.406871192856,2.0,85.0,124.0,83.0,2020-07-07_17h22m05s,DAN,low,0.5,31636516604.36478,False,False
2020-07-07_17h25m54s,2013_12_31_B73_R1_T24_S3_Sec24_9AA_Neg,Iowa State University,Josiah Rensner,True,Negative,maize,seed,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,9AA,9-aminoacridine (9AA),Other,23,42426.406871192856,12.0,29.0,23.0,62.0,2020-07-07_17h25m54s,9AA,low,0.3333333333333333,46728140041.779076,False,False
2020-07-07_17h26m27s,2013_12_31_B73_R1_T24_S4_Sec24_9AA_Neg,Iowa State University,Josiah Rensner,True,Negative,maize,seed,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,9AA,9-aminoacridine (9AA),Other,23,42426.406871192856,49.0,57.0,101.0,4.0,2020-07-07_17h25m54s,9AA,low,0.3333333333333333,46728140041.779076,False,False
2020-07-07_17h32m46s,2014_1_2_B73_R1_T24_S4_Sec21_DHB_Pos,Iowa State University,Josiah Rensner,True,Positive,maize,seed,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,23,42426.406871192856,91.0,195.0,219.0,269.0,2020-07-07_17h14m45s,DHB,low,0.3333333333333333,16695134936.382547,False,False
2020-07-23_17h19m25s,"RECAL_36_Hour_MO17-1,10_DHB_Pos",Iowa State University,Josiah Rensner,True,Positive,maize,seed,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,23,42426.406871192856,54.0,96.0,443.0,673.0,2020-07-23_17h19m25s,DHB,low,1.0,50085404809.147644,False,False
2020-07-23_18h12m22s,MO17_Corn_Seed_2anda_half_days_DAN_Neg_130701101824,Iowa State University,Josiah Rensner,True,Negative,maize,seed,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,23,42426.406871192856,93.0,125.0,217.0,841.0,2020-07-23_18h12m22s,DAN,low,1.0,63273033208.72956,True,False
2020-07-23_18h33m12s,RECAL_MO17_Corn_Seed_2_anda_half_days_DHB_Pos_130628143842,Iowa State University,Josiah Rensner,True,Positive,maize,seed,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,23,42426.406871192856,63.0,179.0,361.0,260.0,2020-07-23_18h33m12s,DHB,low,1.0,50085404809.147644,False,False
2020-07-28_20h27m42s,2013_12_31_MO17_R1_T24_S3_Sec12_DAN_Neg,Iowa State University,Josiah Rensner,True,Negative,maize,seed,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,23,42426.406871192856,61.0,38.0,129.0,221.0,2020-07-28_20h39m14s,DAN,low,0.3333333333333333,21091011069.576508,False,False
2020-07-28_20h30m48s,2013_12_31_MO17_R1_T24_S3_Sec13_9AA_Neg,Iowa State University,Josiah Rensner,True,Negative,maize,seed,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,9AA,9-aminoacridine (9AA),Other,23,42426.406871192856,32.0,42.0,137.0,19.0,2020-07-28_20h35m49s,9AA,low,0.5,70092210062.6686,False,False
2020-07-28_20h33m00s,2014_1_1_MO17_R1_T24_S4_Sec6_DAN_Neg,Iowa State University,Josiah Rensner,True,Negative,maize,seed,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,23,42426.406871192856,87.0,84.0,198.0,191.0,2020-07-28_20h39m14s,DAN,low,0.3333333333333333,21091011069.576508,False,False
2020-07-28_20h35m49s,2014_1_1_MO17_R1_T24_S5_Sec23_9AA_Neg,Iowa State University,Josiah Rensner,True,Negative,maize,seed,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,9AA,9-aminoacridine (9AA),Other,23,42426.406871192856,18.0,68.0,146.0,121.0,2020-07-28_20h35m49s,9AA,low,0.5,70092210062.6686,False,False
