,ds_id,name,group,submitter,is_public,polarity,organism,organism_part,condition,source,raw_source,analyzer,raw_analyzer,matrix,raw_matrix,solvent,raw_solvent,rp,fdr5,fdr10,fdr20,fdr50
17,2022-09-24_02h05m05s,t2_d5#1,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,6,8,11,754
18,2022-09-24_02h02m56s,t2_d3#1_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,6,7,7,734
19,2022-09-24_02h02m34s,t2_d2#2_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,4,,11,790
20,2022-09-24_02h03m19s,t2_d3#2_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,6,7,17,357
21,2022-09-24_02h02m11s,t2_d2#1_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,4,,12,729
22,2022-09-24_02h01m24s,t2_d1#2_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,5,,11,764
23,2022-09-24_02h00m21s,t2_c6#1,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,4,,16,785
24,2022-09-24_01h59m39s,t2_c5#1,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,5,10,4,655
25,2022-09-24_01h59m59s,t2_c5#2,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,5,,11,786
26,2022-09-24_01h59m18s,t2_c4#2,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,8,5,8,501
27,2022-09-24_01h58m17s,t2_c3#2_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,5,,10,671
28,2022-09-24_01h57m34s,t2_c2#2_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,4,10,1,763
29,2022-09-24_01h58m57s,t2_c4#1,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,10,,19,665
30,2022-09-24_01h56m15s,t2_c1#1_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,5,,8,867
31,2022-09-24_01h57m11s,t2_c2#1_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,3,,6,838
32,2022-09-24_01h54m03s,t1_d6#1_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,4,,17,1018
33,2022-09-24_01h55m14s,t1_d6#2_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,5,,12,848
34,2022-09-24_01h52m50s,t1_d5#2_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,5,,7,574
35,2022-09-24_01h49m25s,t1_d4#2_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,4,,12,705
36,2022-09-24_01h48m04s,t1_d3#1_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,9,6,25,680
37,2022-09-24_01h49m03s,t1_d4#1_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,8,,12,713
38,2022-09-24_01h47m38s,t1_d2#2_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,5,,8,791
39,2022-09-24_01h46m58s,t1_d2#1_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,4,,12,567
40,2022-09-24_01h44m28s,t1_c6#1_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,5,,10,968
41,2022-09-24_01h44m48s,t1_c6#2_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,4,,9,693
42,2022-09-24_01h43m35s,t1_c5#1_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,4,,15,933
43,2022-09-24_01h44m02s,t1_c5#2_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,4,,16,720
44,2022-09-24_01h41m56s,t1_c3#2_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,3,,20,932
45,2022-09-24_01h43m10s,t1_c4#2_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,6,,12,613
46,2022-09-24_01h42m31s,t1_c4#1_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,6,,18,604
47,2022-09-24_01h37m40s,t1_c2#1,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,9,4,8,675
48,2022-09-24_01h37m12s,t1_c1#2,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,10,4,74,458
49,2022-09-24_01h36m48s,t1_c1#1,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,8,1,103,472
50,2022-09-24_00h56m44s,t1d5#2_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,5,,,104
51,2022-09-24_00h56m25s,t1d5#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,4,,3,171
52,2022-09-24_00h54m51s,t1d3#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,8,,10,137
53,2022-09-24_00h53m46s,t1d2#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,6,,,140
54,2022-09-24_00h53m22s,t1d1#2_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,,110
55,2022-09-24_00h52m55s,t1d1#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,,108
56,2022-09-24_00h50m19s,t1c4#2,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,1,,,101
57,2022-09-24_00h49m28s,t1c3#2_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,2,,,83
58,2022-09-24_00h49m58s,t1c4#1,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,1,,,128
59,2022-09-24_00h44m55s,t3d6#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,1,159
60,2022-09-24_00h48m19s,t1c2#2_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,,93
61,2022-09-24_00h47m51s,t1c2#1,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,,70
62,2022-09-24_00h43m46s,t3d4#2_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,2,,,61
63,2022-09-24_00h43m18s,t3d4#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,2,,,52
64,2022-09-24_00h42m26s,t3d3#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,,109
65,2022-09-24_00h40m49s,t3d1#1,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,2,,,49
66,2022-09-24_00h40m31s,t3c6#2_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,2,,,63
67,2022-09-24_00h40m08s,t3c6#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,,68
68,2022-09-24_00h39m48s,t3c5#2_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,2,,,48
69,2022-09-24_00h38m58s,t3c4#2_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,1,,,51
70,2022-09-24_00h38m35s,t3c4#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,5,113
71,2022-09-24_00h38m12s,t3c3#3_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,2,,1,61
72,2022-09-24_00h37m23s,t3c2#2_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,1,,,46
73,2022-09-24_00h36m56s,t3c2#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,,58
74,2022-09-24_00h36m07s,t3c1#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,5,,,121
75,2022-09-24_00h36m36s,t3c1#2_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,,67
76,2022-09-24_00h35m07s,t2d6#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,4,1020
77,2022-09-24_00h32m40s,t2d5#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,1,843
78,2022-09-24_00h29m35s,t2d4#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,,738
79,2022-09-24_00h28m42s,t2d3#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,4,942
80,2022-09-24_00h17m53s,t2d1#2_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,1,,,42
81,2022-09-24_00h14m50s,20220921_bg_lung_pos_run02_s3,PNNL,Brittney Gorman,True,Positive,human,lung,biopsy,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,260000.0,18,48,111,233
82,2022-09-24_00h14m20s,t2c6#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,2,,,49
83,2022-09-24_00h12m52s,t2c5#2_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,2,,1,38
84,2022-09-24_00h12m29s,t2c5#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,,45
85,2022-09-24_00h11m38s,t2c4#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,,50
86,2022-09-24_00h09m42s,t2c2#2_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,,42
87,2022-09-24_00h09m01s,t2c2#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,2,,,46
88,2022-09-24_00h04m26s,t2c1#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,1,,,55
89,2022-09-23_23h12m21s,t3_control_(for_drought)_all_6_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,n-(1-naphthyl)ethylenediamine dihydrochloride (NEDC),MeOH,70% MeOH,220000.0,6,,11,1739
90,2022-09-23_22h53m30s,t1_drought_all6_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,n-(1-naphthyl)ethylenediamine dihydrochloride (NEDC),MeOH,70% MeOH,220000.0,5,,13,1924
91,2022-09-23_20h15m22s,t3_drought_all_6_bioreps_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,4,,,54
92,2022-09-23_20h08m23s,t3_control_(for_drought)_all6_bioreps_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,1,65
93,2022-09-23_20h03m39s,t2_drought_all6_bioreps_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,2,,5,105
94,2022-09-23_19h54m41s,t2_control_(for_drought)_all6_bioreps_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,,49
95,2022-09-23_19h38m02s,t1_drought_all6_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,4,,,159
96,2022-09-23_19h24m25s,t1_control_(for_drought)_all6_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,,89
97,2022-09-23_00h46m49s,t3_combo_all_6_biorep_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,8,,55,2977
98,2022-09-23_00h24m24s,time2_combo_all_6_bioreps_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,7,,22,2269
99,2022-09-22_23h49m35s,time2_control_all_6_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,8,,27,1205
100,2022-09-22_23h24m18s,time3_control_all_6_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,10,5,21,2096
101,2022-09-22_23h16m25s,time3_combo_all_6_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,8,,37,2300
102,2022-09-21_06h38m00s,20220914-brain01,None,guo rui,True,Positive,mouse,brain,wildtype,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,140000.0,41,40,586,4263
103,2022-09-20_02h48m45s,ipf_4419_100um,PNNL,Dusan Velickovic,True,Positive,human,lung,ipf_4419,MALDI,MALDI,FTICR,FT-ICR,CHCA,CHCA,ACN,"50% ACN, 50% H2O with 0.1% TFA",200000.0,2,,,2
104,2022-09-19_20h08m22s,20220909_Liver1_CA_MW_1148AM,NCSU,Cristina Arciniega,True,Positive,rat,liver,n/a,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,ACN,"50% ACN, 50% H2O with 0.2% FA",140000.0,190,308,1225,3646
105,2022-09-17_20h44m41s,15-0879 wb xenograft trp pathway dosed- rms_corrected,♡EMBL♡,Theodore Alexandrov,True,Positive,mouse,whole organism,n/a,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,280000.0,37,42,302,2843
106,2022-09-17_20h58m32s,wb xenograft in situ metabolomics test - rms_corrected,♡EMBL♡,Theodore Alexandrov,True,Positive,mouse,whole organism,n/a,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,280000.0,94,28,112,4074
